text,emoji
А значит он не прав ( Марс сердится- значит он не прав!,☝
"Отправь номер, пожалуйста",🙏🏻
"Можете номер дать, пожалуйста",🙏🏻
"ТНТ, умоляю, выложите саундтрек из этой игры",🙏🙏🙏
"должны быть в повторе 6-8 серии, в 20:00 - заключительные 9-10, но идёт почему-то ""СашаТаня""",🤔
А почему толстый не толстый,😅😅
", и подобными ему подружайками розовыми",🐷🐷
", почти никто не поддерживает",👍
В чём проблема-то?,🤔
"Зачем возвращать, значит, так надо? Может у вас ещё разрешение спросить",😂
"Я буду смотреть, я думаю, будет круто",👍
Ура ура ура ура ура ура ура,💓💓💓
) Паша – красавчик! Так похудеть надо смочь!,💪🏻
"Я понял, ты Искандарова, которая никак не успокоится после проигрыша",🤣
Вам тут Женя Искандарова кое-что просила передать,😌
Болел за вас,☀
Раз желаете зелёным значит знаете что они выиграли,👍
Девчонки вы супер,👍
"Успехов вам дальнейших, мира и добра",😊
Какая же она Красотка!!!С Африки ее обажаю,😍
"Женя,прям лучишься позитивом,красавица",❤
Вы для зрителей первые!!!,🥇💛
навсегда!!! Желаю дальнейших достижений!,☺
"Без Вас уже не интересно, вы самые достойные были!",👍
"Если будете брать нового героя, я открыта к предложениям",☺
Зелёные в финале,💚
и ниразу не была разочарована вашими поступками или больше сказать жизнью в предоставленных вам обстоятельствах!!!,🤗
"Вы боец, преданный друг, горжусь, так держать, от всей души",🤗
"и ныли-это фраза на синхроне ""мы не знали что он притворяется благородным типо всё окей?""Круто",👍😄
Женечка вы с Кариной огромные молодцы,👍
Вы мои кумиры,😘
Девчонки вы самые сильные и вообще самые лучшие,❤
смотреть больше не буду… только за вас болела,❤
"Ане мешают зубы новые, дикция поменялась, кажется что ей тяжело говорить",🫣
"Осталось две худшие команды, если",💚
"пусть с вами общаются и поступаю так, как общались и поступали вы) Лети, бумеранг, лети",😎
очень жаль что так вышло,💞
КАК ЖЕ ХОРОШО ЧТО ВЫ ВЫЛЕТЕЛИ! БУДУ БОЛЕТЬ ЗА СИНИХ,🫶
"Супер, жёлтые лучшие",💋
", вы для нас победители",🥰🥰🥰
"Главное, что бы тебя больше не приглашали на ТНТ",🤮
Без вас не буду смотреть,💛
Уже не так интересно,🥱
"Погребняк, мы тебя раскусили",😁
"Специально под ""Анной "" зарегистрировалась,чтобы бяку писать?",😅
"Ой, пардоньте) под именем "" Елена""",😂
", почуяла , что больше не пригласят на ТНТ , победы она желает",🤦
Огорчю Вас)))) её уже пригласили на новые съёмки,😁
Только ради неё буду смотреть,🥰
"Женечка, вы с Кариной лучшие",❤
Ну в Звёздах в Африке не облажалась)))) красотка,☺
Для большинства зрителей вы и есть победители,💛💛
Зато в этом шоу раскрылась,🤮🤮🤮
Как сильная и клевая девушка,👍😏
Господи какая Женя красивая!,😳
я за вас болела,😭💛
мне даже теперь и смотреть без вас не хочется,😢
"Женя, Карина, вы всё равно молодцы!",👏
"Жаль, но так сложилось",😪
Вы в любом случае победили,🏆
"скажите, что он недостоин быть там, так вас сразу же пошлют на хутор бабочек ловить",😂
это ее работа,😂
Мы смотрим в будущее,😅😅
"Да похоже, у Бузовой подрабатывает",😁😁😁
Особенно его брат,😁
В чем популярность Давы,😂
"Или такие,как у Бузовой,то всё понятно",😂
"он спел на большой сцене? И что за киношка,где он снялся? Закомплексованный он какой то",😁
"Вот в чем уверенность,так в том ,что у него писюль немаленький",😂😂😂
Атоб Бузова так горевала,😂
"Смысл тут писать вам хейтером, главный фанат это я",🤨
"Поздравляю, вот Вам медалька",🏅
"Хотел, но слава богу увело это счастье",🤦
"Леди Бу,это Вы?",😮
Надеюсь больше не увидеть ж и к в шоу,🤣
"Хотя при чем здесь ведущие? Аааа, они же и продюсерами подрабатывают по совместительству",🤣
"Болела только за вас, вы молодцы",🥰👏
Ершов будет в Титанах или не дотягивает,😂
"Украшение проекта! Умные, смелые, воспитанные",👏🏻
Для меня проект закончился Вашим уходом,💛💛
Как много в погребке подобных,😴
"Ершову хоть ссы в глаза, всё божья роса!",💩💩💩
Славик готов сказать тебе три самых главных слова,🥰
"Забирай стикеры ""Светлаков",➕
""" на случай важных переговоров и смотри премьеру уже завтра в 2",
Так и Букины не последние,😂
Сделайте подарок для телезрителей и фанатов,💛
"Болею теперь только за зеленых, больше не за кого",💚
Это уже не Дениска,😏
"Да, ты, успокойся!",😁
Выходи за меня,💎💍🌺
Вы лучшая команда,🤗🤗🤗
"Ну да, а черную кошку получать это против правил",🤓
ТНТ ВСЕ РАВНО ВЫ ПОТЕРЯЛИ СВОЙ РЕЙТИНГ ПОСЛЕ ТАКОЙ БУЗОВСКОЙ ПОДСТАВЫ,👎👎👎
Вот это новость!!!!,🔥
"На сегодняшний день опровержений мной замечено не было,давайте так",😄
"Спасибо, что показали как нужно играть - честно и достойно и всегда оставаться человеками",☺
вы для меня победители,🏆
Лучше пересмотреть все сезоны,😎
"Все, больше жру! Завидно стало",😻
Я одна прочитала не Карина Кокс а Карина Крос,😂
ТНТ вам не отмазаться,😂
И они Победили,🥇
Они уже победители!,🥇
Поэтому пусть говорит - ведь она искренне так считает,🤷
отношениях с другими людьми так и к матери по шоу( хотя не удивительно) отвратный персонаж,🤮🤮🤮
"они с Аланой такие все женственные красотки? Так вот, я готова их с Аланой разочаровать",😂
Самая лучшая команда,💛💛💛
Я тоже болела за команду желтых,💛
"расстроилась… Карина, Женя, не унывайте, смотрите сколько людей вас поддерживает и считает своими Победителями!",🥇
Иногда честный проигрыш приносит больше чем грязная победа,🙌
мы с вами!,🤝💛
"Хороших вам проектов и самых настоящих, честных побед",💪🏻
"Привет)) не удаётся смотреть по ТВ?((Напоминаем, с пн по чт в 20:00 на ТНТ",🔥
"Болела за вашу пару, без вас это шоу даже смотреть не хочется",💔💔💔
"Мы точно знаем, что «Светлаков +» уже завтра на ТНТ",😏😏
"Обидно, что участники адекватные ушли, а неадекватные остались",🙈😭
Ура! Очень люблю!,❤
"Марина, С Днем Рождения",🍾🌺
главное победа и оставаться человеком а не крысой,😡
Женя ты смелая,😍
ты большая молодец,👍
я болела за вас,♥
Карина и Женя вот мои победители,🌺
тогда именно они всемогущие,🤷
Ура! Круто! Ждём!,🔥🔥🔥
"Приготовься смотреть, как светская львица будет выживать в дубайской пустыне",😏
Опять дом-2 на ТНТ,🤦🏻
Прекрасно! Жду с нетерпением увлекательных приключений Виктории Бони,🌴🐫
"Надо же, а что ж не голая то?",😂
Я там иногда бывает смотрю,☺
Это что было зря?,😅
Не хочу еще раз,🫠
"0 Иди закладки ищи , ой конверты прячь",😡👎
Почему не поставили смайл,💩💩💩
Си ки на выкат,😁
"Согласен, и программу назвать « Желтые», было бы круто видеть их каждый день на ТВ",❤
А почему светская львица? А не деревенская тигрица,🤣
Красотка конечно она,😍
"Мне одной желтые кажутся не искренними? Наигранными? Не считаются ни с кем, ещё миногарова бесит",😡
Чтобы Давид не ушел от тебя,😉😉
Собчак светская пицца,😂
Обязательно мы покажем новый сезон на ТНТ,💘
Бег аля спасатели Малибу,😂
Нашу рашу и делаем 6 сезон,👍
Ничего и никто не заявит,🤗
Где талия у неё?,🤔
Я про синих и розовых,🤮
А так красиво можно было сделать,🤦
А и бывшего забыла,😏
Ещё скажите что маски с них слетели в очередной раз,🤦
сразу видно Погребняк пересмотрели,🤣
"партнёрше типо был не равнодушен, даже изображал при выгоне,а потом признался, что это было игра",🤦🏻
"Красотка, вы лучшие",💛
Я вообще погребняк только из-за Бузовой узнала,🙊
Нихрена се толстый схуднул,😱
"Боже, ещё одна такая же со знанием русского языка, как и Елена",😂
"Ксюшка и Ленка, принимайте ещё одну к себе в команду",😂😂😂
"Я вам тайну открою, у неё подписан контракт, с ГЗПМ, она вынуждена",😉
Не то что достижения Жени и Карины,🥲
"юзают две тётки, а вы ведётесь, надеюсь вы петицию подписали? В Аппарат президента направили запрос?",🤣
Пять мячей за раз несет,😂
"Боня боится уши отморозить , стоит в папахе ?",😂
Какие это звезды??? Набрели по объявления,😂
Опять одни и теже,😶
"Доброго утра,хорошего настроения позитивных передач",👍👍👍
"Ну или связи, привет силиконовым",🤮
Звезда очередная от ТНТ,😂
"смотреть что добро побеждает зло, а тут получилось наоборот зло осталось и самое самое зло…",🙄🙄🙄
Ура уже сегодня Светлаков + буду ждать,👍
Хорошо что свалили,🥱😷👎
"И хорошо, что тащат",🤨
Да нечестно так остались обе,😔
В это Воскресенье? Или позже?,😊
"В это воскресенье в 19:00 «Сокровища императора», в 21:00 - «Титаны»",🔥
"экране выглядит адекватным, умным и воспитанным) он бы взял в свое шоу Ершова и Погребняк?",🤔
А где красиво то?,🤔
ДАРИМ СТАРТЕР ПАК БЕЛЯКОВА,🤩
Кидай в комментарии под этим постом эмодзи,📺
"пор, пока мы не скажем «СТОП» финальным стикером!Тот, кто окажется над ним, и заберет приз",😱
"уже сегодня! Количество комментариев не ограничено, а правила ТУТА уже СЕГОДНЯ В 22:00 смотри «Светлаков",➕
ЮЛИЙ ДОСТОЕН УЧАСТВОВАТЬ НАРАВНЕ СО ВСЕМИ,🔥
ОН ЭТО ЧËТКО ДОКАЗАЛ,👍💯
В том числе и БЕЛЫЙ,🤍
Какой белый вы чё он сам зеленый а пузико белое,🤦
Ну белый же присутствует,😂
"Крылья зелёные убрать, он останется белым",😁
Фараон и Соня,💘
Кто ждёт в следующем выпуске Николь и реакцию Райдос,😍
Котова нужно дать шанс,👍
"Такой бред , зелёный, белый ,",🤦
"дайте парню шанс и всё, Турчинского кыш",😡
Юлию дорогу в битву сильнейших,💪
"Буду смотреть и говорить Уоп, а я его знаю в дебатах по богомолу общались",😂
"Да мы видели, конечно я согласна что нужно его убрать из жюри он слишком эмоциональный",😂
"вопросы, а эта ведьма вечно расплывчатая ""и зеленый, и прозрачный"", ""и съедобное, и не съедобное""",🤦
Но я точно буду за тебя голосовать,😁
Котова в Битву Сильнейших,❤
Никто не кого не призывают вы о чем?,😡
А тут такой срач устроили,😁
"последнее время, я раньше просто обожала Сашу, но сейчас он ведёт себя мягко сказать странно",🤷
"то?!Уважаемые организаторы, примите, пожалуйста, меры и не делайте из этой замечательной программы второй «дом 2»",🤢
у всех разное восприятие цвета,😊
Линочка Джебисашвили попросила,😍
"Увы,он указал в состязание,что это несъедобное",😅
Надеемся на звук,🫣
"кто голосует по просьбе Лины, это вообще отстой",😂
Самое дешевое/самое дорогое,😂
"тогда уж , если не можете определиться с цветом! Белый богомол - цирк какой то",🤡
"там говорят, что была самка",😇😇😇
"Запретите Шепсу вставать с места во время испытаний участников, надоел уже скакать",🤨
"Объективно что там видят зеленый, но видеть блаженного воздушного Юлия очень хочется",🙏
Поддержите пожалуйста нашу группу,🙏🙏🙏
но его этот поступок меня разочаровал!‼,
Я хочу чтобы Соня выиграла!Кто тоже?,👇🏻
"Поддержите пожалуйста нашу группу, вступив в неё, поддержите начинающих мастеров",❤❤❤
В России никто мне кажется не ест,😁
"Поддержите пожалуйста нашу группу, вступив в неё, поддержите начинающих мастеров",❤❤❤
В том числе и БЕЛЫЙ,🤍
Котова в битву,❤
Пишу про любовь к себе и бокс,🩷
"ЗЕЛЕНЫЙ , ДВА ДАУНА ТАМ СИДЯТ А САНЯ ТОП",👍
"Поддержите пожалуйста нашу группу, вступив в неё, поддержите начинающих мастеров",❤❤❤
"Зелёный, зелёный, зелёный!",🍏
Тупо поддержу Юлия,👍
"Да Котов лучше, чем Соня",😘🎉
"БРЮШКО САМКИ БЕЛОЕ! К тому же, в природе встречаются и полностью белые богомолы",😎
А где он белый,😅
"Белый, для того чтобы прошёл Юлий Котов",👍👍👍
Голосую за участие Юлия в битве,😁
Пузико блин белое,🤦🏼
"Зелёный цвет! Даже салатовый, но ни какого белого там даже и не видно",😏
За Юру до талого,😂
"Юлик классный, но богомол зеленый",🤷
"того чтобы видеть Юлия!!!! Он ооочень приятный,светлый и не обычный! За такими очень круто наблюдать",🙏🏻
"С одной стороны он зелёный, но не прозрачный",🥶
Чисто специально хочу Юлия в финале)))),😉😉
Голосуйте за белый,👍
Юлий тоже должен участвовать,☺
Даже не попытались хотя бы название другое придумать?,😏
Это иконы мира,🛐🛐
Конор Макгрегор провалил кастинг в сериал ТНТ,😲
Смотри полную версию интервью,👆
"ложь на лжи и ложью подпирает, эх…",🫠
Участники испытания сами притянули к себе все несчастья?,😵
Видео из официальной ВК группы «Битва Экстрасенсов»,➡
Да тоже хочу знать когда будет,😉
"Это Леха Щербаков звал тебя на Стендап фест, щас он дома уже",🤪👇
Эти сердечки в конце,👌
Бережное напоминание: сегодня только вторник,👆
Увела нашего Димку в бар,😈😈
Ты свой емайл спалил,🤦
Летящей походкой ты вышла из мая,🦋💗
Проверь свои способности,🔮
Кто из экстрасенсов будет отвечать на вопросы следующим?,⬇
Матвеев! Мы тебя ждём!,❤❤❤
"дима, наш любимый",💗
А тех кто правильно сказали кто будет возьмут в битву экстрасенсов? Вхахаххахах,❤
"Есть те, кто угадал…Сегодня на связи Лина Джебисашвили",🤩
А Дима то когдаа,🥲🫶
Писали же что до 1 августа,🗿
"Есть те, кто угадал…Сегодня на связи Лина Джебисашвили",🤩
Обожаю ответы на вопросы от экстрасенсов!!,💘
"я думала,что то,где она стала за свою дочь переживать и позвонила ей",😞
Но она все равно самая лучшаяя,❤
Т9 исправил Шепс на Швепс,🙈
"ЛипецкЛина Джебисашвили, с кем больше всего общалась на проекте? И с кем поддерживаете общение сейчас?",❤💋
Ээээээээээ за бэ не слова,😡😊
Ыыыы НАДЕЖДА ЗАВИДУЙ,🙄😂
Мне Олег снился :) обнимал меня,😎
А сегодня утром я узнала что МАМА ХОЧЕТ ОБРАТИТЬСЯ В БИТВУ СИЛЬНЕЙШИХ ААААЯ УВИЖУ ОЛЕГААААА,😎😎😎
такую чёрную и там че то красное не то аниме ни то что то другое,😎
я тоже оттуда,😭
"Даша, посёлок КадошкиноЛина какая у тебя первая тутаироквка",😅💋
но вам приходиться расставаться что у тебя в этот момент на душе и на сердце,💔
Надеюсь хоть сегодня ответят на мой вопрос,🤞
"У меня есть браслетик от Лины, ношу не снимая",❤
1 милена Астрахань 2 лина,❤💋
"тебя так сильно потянуло туда?)заранее спасибо за браслетик, и также удачи развиваться в своей жизни!",❤
1 милена Астрахань 2 лина,❤💋
1 милена Астрахань 2 лина,❤💋
"покупаем браслеты, кольца, бижутерию",💍
"1) Кристина, Оренбург2) Лина Джебисашвили",🫶
Когда уже Лина ответит на мой вопрос?,😣
пойдетё ли вы на ещё один сезон новой битвы экстрасенсов? Очень хочется увидеть вас победительницей!,❤
Когда будет итог конкурса в ВК?,﻿﻿
Что для тебя «Комфортное место» или «место силы»?,﻿﻿
"Сколько нужно время, что сдружиться с человеком?",﻿﻿
мерч или выпустить собственную книгу?и с кем бы ты хотела сделать коллаб в мерче ?люблю,❤
1 милена Астрахань 2 лина,❤💋
Когда будет итог конкурса в ВК?,﻿﻿
Что для тебя «Комфортное место» или «место силы»?,﻿﻿
"Сколько нужно время, чтобы сдружиться с человеком?",﻿﻿
"Москва1) Лина, ты бы хотела чтоб Луна,пошла по твоим стопам и тоже занималась черной магией?",🖤
ХАХАХАХАХАХХАХАХА ДИМКУ ТО КУДА?,😭😂
Была ли ты рада когда узнала что беременна Луной и была ли эта беременность запланирована?,💗
"3)Если бы пришли новые участники, кого бы ты хотела увидеть? Люблю тебя",😘🫶
"Была ли ты рада когда узнала что беременна Луной, и была ли эта беременность запланирована?",💗
"Была ли ты рада когда узнала что беременна Луной, и была ли эта беременность запланирована?",💗🫶
"Была ли ты рада когда узнала что беременна Луной, и была ли эта беременность запланирована?",💗🫶
"как ты бы хотела продвигать свою карьеру дальше после битвы сильнейших, и продвигала бы вообще?)",🫶
как бы ты их назвала?,❤
ЛИНОЧКА ТЫ ЛУЧШАЯ,💗🌷👥
"Была ли ты рада когда узнала что беременна Луной, и была ли эта беременность запланирована?",💗🫶
как бы ты их назвала?,❤
"1)Ника, Владивосток2) Лина Джебисашвили",💋
как бы ты их назвала?,❤
как бы ты их назвала?,❤
как бы ты их назвала?,❤
"развивить свои способности, с какого возраста лучше заниматься магией? На сколько это сложно и долго?",❤
как бы ты их назвала?,❤
"1) Галина , Владим обл 2) Лина Джебисшвили 3) Здорово! Ответы на вопросы!!!!",👍
как бы ты их назвала?,❤
Симферополь2) Лина Джибисашвили3)с какого возраста ты начала видеть больше чем обычные люди?,💕
как бы ты их назвала?,❤
как бы ты их назвала?,❤
как бы ты их назвала?,❤
"развивить свои способности, с какого возраста лучше заниматься магией? На сколько это сложно и долго?",❤
"отвечали, но я не уследила и спрошу: из-за чего голос с небольшой хрипосцой? Заранее благодарю",💞
"развивить свои способности, с какого возраста лучше заниматься магией? На сколько это сложно и долго?",❤
1) Арина из Тулы2) Лина Джебисашвили,💗
"развивить свои способности, с какого возраста лучше заниматься магией? На сколько это сложно и долго?",❤
вас прошёл день? Заранее спасибо за ответ! У меня это не отправились в тот день,😭
"Полина, КинельЛина Джебисашвили",💞
"Полина, КинельЛина Джебисашвили",💞
"Не нравится, выйди от сюда",🤡
"для Лины, она это точно увидит",👀
"Пиши в комменты, кого из экстрасенсов будешь ждать следующим",🔮
"Лена , Улан-Удэ Лина Джебисашвили Как вы себя чувствуете после испытаний? Если ответишь буду рада",🥰
Лина мы вас любим,❤
Очень жду Марьяну Романову,🙌🏻
Надежду и Марьяну очень жду,☺
"Ну да, как и эти двое из ларца — из обычной песни сделали х-ню",🤣
Главное — друг другом налюбовались,😆
"кто лучше, кто хуже, а здесь прям пара ненавистников и при чём тут Олин развод",🤦🏻
Олечка лучшая номер классный,😻😻😻
Что они там ожидают увидеть,😂
Естественно) дай бог здоровья вам) розьяснили слава богу) а то,😉
"Спасибо, вам всего того же",💓
Вот эт я объебался!,🤣🤣
"Мне с вас так смешно, никто никому не завидует",👎
"После прошлого выпуска этот, конечно, провал",🫣
Ну всё! Другие пары можно не объявлять! Эти девочки самые лучшие!,💯🤩
Толик со мной,😂
Ура! Нашла место где можно побомбить,🔥🤯
"Все выпуски нравятся, но вот тот, где спели дискотека авария-это разрыв всего!!!!",🍭🍬
Да до сих пор в голове,😹
такой: О! Студия звукозаписи) А не зайти ли мне на огонёк?? Мож хоть чайку нальють!,🤣🤣🙈
Стас спел так как может и ка видит,🤷
"В наше время, Филипп влип",😂
Ярушин молодец! Он мой победитель,🏆🎉🏆
Просто две машины,🔥🔥🔥
"Фуита полная, вся передача",😂
Оля была просто секси,😍😍😍
все песни испортили,😁
Точно перепутал немного,😄
Инсайды от ведущей «Новой Фабрики звёзд» Регины Тодоренко,👀
"Делаем ставки, кто это будет, в комментах",👇
Невтудверова сразу переключила и разочаровалась в выпуске! Не знают уже куда его засунуть этого силиконожопова!,🤢
в оригинале звучит лучше,😒
"Неужели уже никого кроме тодоренко не осталось, она уже везде",🤦🏼
А кому ещё,😂
"Видимо, ""Миллион за 5 минут"" сказывается",😆
"их мэтч с Родригезом, но всё что я вижу после, особенно в ""маске"" это ппц",🤦🏼
"Посмотрю, может понравится",❤
"одна и та же,и тут и там,а страна состоит из 150 миллионов,нет ни кого,кроме неё",🙈
Неужели больше никого не нашли,🙁
"рекламируют Фабрику звезд, неплохие наставники, вроде как интерес возник посмотреть, узнав, что она ведущая, разочаровалась",🤦
"Мне очень нравится Николь, но со вторым заданием она не справилась",🤷
Всю фабрику изпортит,😏
"А почему вы думаете, что фабрика выше уровнем?",😂
"Нет,но про ведущию да это ж полный",👎
«Новая Фабрика звёзд» 3 марта в 17:00?,🔥
Из представленных никого,🤷
"Да там собственно и авторы все такие: Я художник, я так вижу",😆
Не представляю как он теперь большие испытания будет проходить( Долго наверное заживать будет,😞
Дааа)) Сегодня в 19:00 новый выпуск,🔥
Урааа канал ТНТ кто вообще создатель ТНТ надеюсь ответят,🤞
Я из-за неё шоу маска не смотрю,🤣
Во время съемок ему ещё небыло 18,😁
Я б тоже намазала,😂
"лично я очень жду шоу, хотя в плане ведущего прикольно было бы видеть Гарика Мартиросяна",😍
"Как раз в шоу «Ярче Звезды», «конфетка» он в невероятном контакте с залом",🥰
"ТНТ спасибо, что создаете такие потрясные проекты",🥺
После работы и остальной суматохи жизни это невероятно расслабляет,🔥
Лучший проект! Огромная благодарность за проделанную работу) Ждём 2 сезон,😍
Приезжай к нам в Черноикорск,😏😏
Этому шоу нужен отдельный канал,🫶
Все звезды наши,😜
зачем нам пришлые с других каналов,😆
Как же много рекламы!!! На спинах участников еще рекламу наклейте,🫣
"Как всегда, всё супер!Мне нравится всё, что вы показываете",😉
"кстати, я вчера первый раз посмотрела ""Конфетку""",🔥
Вдруг вам не понравится,🥺
Жду 10 марта и болею за Анатолия и Валентина,☺
Ты пиши) всегда ответим,💪🏻
Прям хоть каждый день можно писать и ответите?,🥺🥺
Что-то страшно стало,😀
А когда будет кастинг на 3 сезон?,🤭👀
"этот пересказ оживет на экране, ты увидишь в сериале «Камера Мотор» 4 марта в 20:00",🎥🎬
"Любимый ТНТ, здравствуйте!",😊❤
"Скажите,а когда наконец перестанут показывать пенсионеров сашу с таней уже просто не возможно",🙈
В фильме Ленин на субботнике,😂😂😂
Сидит и гычит свое интервью,🤮
"Шрек, когда захватили болото",💯
"возмущаются все,когда прекратите показ Саша Таня ну очень",🤮
"Привет, как дела?",💞💖
"А я знаю! Я знаю этот фильм!Хз, не знаю",😔
"О что это за кино, аж посмотреть захотелось",😂
и не съешьте,😌
"ТНТ, не обиделись? Всё хорошо?",😿
"Земли шаманов , Эвенкийский автономный округ например или Байкал",👍
Стартовали съемки 4 сезона полюбившегося сериала,❤
"Кто не лайкнул новость, тот не патриот сериала «Патриот»!",🔭
обожаю этот сериал,😘😘😘
О классный сериал,💪🏻
Телеканал ТНТ здравствуйте!!!,🤝
"был на тнт 13 лет и был финальный сезон , теперь патриот также будет ?",😂
4??? Как 4 сезон?,👀
Я думала это третий,😁
"ТНТ, поздравляю Вас с началом съёмок и желаю удачи! Ждём очередную крутую премьеру от Вас!",❤❤✊
"Может, только одну-две серии",😿😥
Почему я никогда не попадаю на эти сериалы,😥😥😥
"Я бы не отказалась от ещё одного сезончика""жуков""",😏
"Господи тошнит от этой Тодоренки, прям бесячая и суют ее везде, во все програмы",😶
000 на ТНТ,😊😊😊
Это мы смотрим,❤
Новое реалити-шоу от создателей «Новых звёзд в Африке»,🥹
Звёзды в Африке навсегда в сердечке,💔
буду болеть за Даву,🔥
Ждемс кайф проэкт,☺
Ураааа!!! Ждём шоу новое с Ольгой Бузовой,❤❤❤
Есть повод включить теперь ТНТ ещё раз на шоу Сокровища Императора,🔥🔥🔥
Буду болеть за Давида!,🔥🔥🔥
"Дождались, ура,лучшее шоу, с лучшими ведущими",😍😍😍
Каеф) Режим ждуна включен,😍
"Ещё не определилась, надо посмотреть, но Карина с Женей очень сильный дуэт",😊
будет интересно посмотреть,😊
"Для сравнения, нужно посмотреть хотя бы один выпуск этого шоу",😎
"надеюсь возвращения ""Звезды в Африке""",🙈
А больше звёзд нет Зачем одни и те же люди,🤔🤦🏼
Ура! Ждем новое шоу с лучшими ведущими Олей и Мишей,😍😍😍
Уже 10 марта в 19:00,😍
"она намного лучше и её не заменит никакое шоу, и думаю большинство со мной согласны",😢
Ждём наших лучших ведущих! Какой всё-таки замечательный тандем получился,🔥👍
"Очень сильно жду, и конечно же буду поддерживать Анатолия и Валентина (Полтора корейца любимые",🇰🇷🫶
10 марта в 19:00,💕
"Ждем, болеть буду за Tsoy!!",💕
1 и 2 сезон,🔥
3 сезон что то не очень зашел( надеюсь 4 сезон будет классный,😊
10 марта в 19:00,😍
ждём Даву и Армана,👍🔥
Будем смотреть! Дава и Арман,👍
Скороговорка прям получилась,😆
и полтора корейца круче чем один,❤
Жду! Буду болеть за Давида,🔥🔥🔥
С удовольствием бы начача смотреть его заново,☺
Ещё как готовы,😊
"Как жаль, что Назима ушла",😫
"Очень простая, человечная и невероятно приятная",❤
Урааа какая крутая новость,👍👍👍
"Вы ж не против, что я Ваши кубики позаимствовала?",😃
Бузова и Ярушин сделали очень круто,😻👍
Как день прошёл?,😊
"Вижу, что в 00:40 ""Это нормально? "" будет, хочу посмотреть, но поздно как-то",😿😿
ГДЕ НАЙТИ НАРЕЗКИ,😨😨
